sample_idx,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20
495,3,3,4,5,5,5,5,5,5,6,7
496,8,9,10,11,11,12,13,14,14,15,16
497,8,9,10,11,11,12,13,14,14,15,16
498,8,9,10,11,11,12,13,14,14,15,16
499,7,8,9,10,10,11,12,12,12,13,14
500,7,8,9,10,10,11,12,12,12,13,14
501,8,9,10,11,11,12,13,14,14,15,16
502,7,8,9,10,10,11,12,12,12,13,14
503,7,8,9,10,10,11,12,12,12,13,14
504,7,8,9,10,10,11,12,12,12,13,14
505,3,3,3,4,4,4,4,4,4,4,5
506,3,3,4,5,5,5,5,5,5,6,7
507,7,8,9,10,10,11,12,12,12,13,14
508,7,8,9,10,10,11,12,12,12,13,14
509,9,10,11,12,12,13,14,15,16,17,18
510,9,10,11,12,12,13,14,15,16,17,18
511,9,10,11,12,12,13,14,15,16,17,18
512,9,10,11,12,12,13,14,15,16,17,18
513,9,10,11,12,12,13,14,15,16,17,18
514,3,3,4,5,5,5,5,5,5,6,7
515,3,3,4,5,5,5,5,5,5,6,7
516,3,3,4,5,5,5,5,5,5,6,7
517,3,3,4,5,5,5,5,5,5,6,7
518,3,3,4,5,5,5,5,5,5,6,7
519,3,3,4,5,5,5,5,5,5,6,7
520,3,3,4,5,5,5,5,5,5,6,7
521,8,9,10,11,11,12,13,13,13,14,15
522,9,10,11,12,12,13,14,15,16,17,18
523,9,10,11,12,12,13,14,15,16,17,18
524,8,9,10,11,11,12,13,14,14,15,16
525,3,3,4,5,5,5,5,5,5,6,7
526,3,3,4,5,5,5,5,5,5,6,7
527,3,3,3,4,4,4,4,4,4,4,5
528,3,3,4,5,5,5,5,5,5,6,7
529,7,8,9,10,10,11,12,12,12,13,14
530,3,3,4,5,5,5,5,5,5,6,7
531,3,3,3,4,4,4,4,4,4,4,5
532,3,3,3,4,4,4,4,4,4,4,5
533,3,3,4,5,5,5,5,5,5,6,7
534,3,3,4,5,5,5,5,5,5,6,7
535,3,3,4,5,5,5,5,5,5,6,7
536,3,3,4,5,5,5,5,5,5,6,7
537,8,9,10,11,11,12,13,14,14,15,16
538,8,9,10,11,11,12,13,14,14,15,16
539,3,3,4,5,5,5,5,5,5,6,7
540,3,3,4,5,5,5,5,5,5,6,7
541,9,10,11,12,12,13,14,15,16,17,18
542,9,10,11,12,12,13,14,15,16,17,18
543,9,10,11,12,12,13,14,15,16,17,18
544,3,3,4,5,5,5,5,5,5,6,7
545,3,3,4,5,5,5,5,5,5,6,7
546,3,3,4,5,5,5,5,5,5,6,7
547,3,3,3,4,4,4,4,4,4,4,5
548,3,3,3,4,4,4,4,4,4,4,5
549,3,3,4,5,5,5,5,5,5,6,7
550,3,3,4,5,5,5,5,5,5,6,7
551,3,3,4,5,5,5,5,5,5,6,7
552,9,10,11,12,12,13,14,15,16,17,18
553,9,10,11,12,12,13,14,15,16,17,18
554,9,10,11,12,12,13,14,15,16,17,18
555,9,10,11,12,12,13,14,15,16,17,18
556,9,10,11,12,12,13,14,15,16,17,18
557,9,10,11,12,12,13,14,15,16,17,18
558,9,10,11,12,12,13,14,15,16,17,18
559,9,10,11,12,12,13,14,15,16,17,18
560,9,10,11,12,12,13,14,15,16,17,18
561,9,10,11,12,12,13,14,15,16,17,18
562,9,10,11,12,12,13,14,15,16,17,18
